cve,epss,date
CVE-2025-21043,0.04908,2026-05-06
CVE-2025-36897,0.00243,2026-05-06
CVE-2025-48543,0.0031,2026-05-06
CVE-2025-57631,0.00677,2026-05-06
CVE-2025-58321,0.00084,2026-05-06
CVE-2025-58447,0.00456,2026-05-06
CVE-2025-59352,0.01383,2026-05-06
CVE-2025-20352,0.02674,2026-05-10
CVE-2025-20362,0.44084,2026-05-10
CVE-2025-21042,0.03298,2026-05-10
CVE-2025-21043,0.04908,2026-05-10
CVE-2025-36897,0.00266,2026-05-10
CVE-2025-48543,0.0031,2026-05-10
CVE-2025-57631,0.00677,2026-05-10
CVE-2025-58321,0.00084,2026-05-10
CVE-2025-58447,0.00456,2026-05-10
CVE-2025-59352,0.01383,2026-05-10
CVE-2025-20352,0.03642,2026-05-14
CVE-2025-20362,0.50581,2026-05-14
CVE-2025-21042,0.03298,2026-05-14
CVE-2025-21043,0.04908,2026-05-14
CVE-2025-36897,0.00266,2026-05-14
CVE-2025-48543,0.0031,2026-05-14
CVE-2025-57631,0.00677,2026-05-14
CVE-2025-58321,0.00084,2026-05-14
CVE-2025-58447,0.00456,2026-05-14
CVE-2025-59352,0.01383,2026-05-14
CVE-2025-20352,0.03427,2026-05-18
CVE-2025-20362,0.50138,2026-05-18
CVE-2025-21042,0.03298,2026-05-18
CVE-2025-21043,0.04908,2026-05-18
CVE-2025-36897,0.00266,2026-05-18
CVE-2025-48543,0.0031,2026-05-18
CVE-2025-57631,0.00677,2026-05-18
CVE-2025-58321,0.00084,2026-05-18
CVE-2025-58447,0.005,2026-05-18
CVE-2025-59352,0.01383,2026-05-18
CVE-2025-20352,0.04199,2026-05-22
CVE-2025-20362,0.46779,2026-05-22
CVE-2025-21042,0.03298,2026-05-22
CVE-2025-21043,0.04908,2026-05-22
CVE-2025-36897,0.00324,2026-05-22
CVE-2025-48543,0.0031,2026-05-22
CVE-2025-57631,0.00742,2026-05-22
CVE-2025-58321,0.00084,2026-05-22
CVE-2025-58447,0.005,2026-05-22
CVE-2025-59352,0.01383,2026-05-22
CVE-2025-20352,0.04199,2026-05-26
CVE-2025-20362,0.46779,2026-05-26
CVE-2025-21042,0.03298,2026-05-26
CVE-2025-21043,0.04908,2026-05-26
CVE-2025-36897,0.00324,2026-05-26
CVE-2025-48543,0.0031,2026-05-26
CVE-2025-57631,0.00742,2026-05-26
CVE-2025-58321,0.00084,2026-05-26
CVE-2025-58447,0.00641,2026-05-26
CVE-2025-59352,0.01515,2026-05-26
CVE-2025-20352,0.04199,2026-05-30
CVE-2025-20362,0.46779,2026-05-30
CVE-2025-21042,0.04412,2026-05-30
CVE-2025-21043,0.04908,2026-05-30
CVE-2025-36897,0.00324,2026-05-30
CVE-2025-48543,0.0031,2026-05-30
CVE-2025-57631,0.00742,2026-05-30
CVE-2025-58321,0.00094,2026-05-30
CVE-2025-58447,0.00641,2026-05-30
CVE-2025-59352,0.01515,2026-05-30
CVE-2025-20352,0.04199,2026-06-03
CVE-2025-20362,0.46779,2026-06-03
CVE-2025-21042,0.04412,2026-06-03
CVE-2025-21043,0.04908,2026-06-03
CVE-2025-36897,0.00324,2026-06-03
CVE-2025-48543,0.0031,2026-06-03
CVE-2025-57631,0.00902,2026-06-03
CVE-2025-58321,0.00094,2026-06-03
CVE-2025-58447,0.00641,2026-06-03
CVE-2025-59352,0.01837,2026-06-03
CVE-2025-20352,0.03954,2026-06-07
CVE-2025-20362,0.43496,2026-06-07
CVE-2025-21042,0.04412,2026-06-07
CVE-2025-21043,0.04908,2026-06-07
CVE-2025-36897,0.00324,2026-06-07
CVE-2025-48543,0.0031,2026-06-07
CVE-2025-57631,0.00902,2026-06-07
CVE-2025-58321,0.00104,2026-06-07
CVE-2025-58447,0.00641,2026-06-07
CVE-2025-59352,0.01837,2026-06-07
CVE-2025-20352,0.03236,2026-06-11
CVE-2025-20362,0.50936,2026-06-11
CVE-2025-21042,0.04412,2026-06-11
CVE-2025-21043,0.04908,2026-06-11
CVE-2025-36897,0.00324,2026-06-11
CVE-2025-48543,0.0031,2026-06-11
CVE-2025-57631,0.00902,2026-06-11
CVE-2025-58321,0.00104,2026-06-11
CVE-2025-58447,0.00641,2026-06-11
CVE-2025-59352,0.01837,2026-06-11
CVE-2025-20352,0.37613,2026-06-15
CVE-2025-20362,0.83681,2026-06-15
CVE-2025-21042,0.11606,2026-06-15
CVE-2025-21043,0.01435,2026-06-15
CVE-2025-36897,0.00271,2026-06-15
CVE-2025-48543,0.00545,2026-06-15
CVE-2025-57631,0.00767,2026-06-15
CVE-2025-58321,0.01217,2026-06-15
CVE-2025-58447,0.00819,2026-06-15
CVE-2025-59352,0.0068,2026-06-15
CVE-2025-20352,0.37613,2026-06-19
CVE-2025-20362,0.83681,2026-06-19
CVE-2025-21042,0.11606,2026-06-19
CVE-2025-21043,0.01435,2026-06-19
CVE-2025-36897,0.00271,2026-06-19
